Board/Commission,Member Name,City,County,Position,Term Begin,Term End↓,Gender,Party,Status
"STEM Advisory Board, Southeast Regional",Tonya Peeples,Coralville,JOHNSON,Public University,2014-07-01,2017-06-30,Female,Dem,A
"STEM Advisory Board, Southeast Regional",Dwight Dohlman,Ottumwa,WAPELLO,Local Government,2015-07-01,2018-06-30,Male,None,A
"STEM Advisory Board, Southeast Regional",Christine Cournoyer,Le Claire,SCOTT,Nonprofit/informal learning centers,2015-07-01,2018-06-30,Female,Rep,A
"STEM Advisory Board, Southeast Regional",Timothy Bower,Muscatine,MUSCATINE,School Board Member,2015-07-01,2018-06-30,Male,Rep,A
"STEM Advisory Board, Southeast Regional",DaLayne Williamson,IOWA CITY,JOHNSON,Regional Workforce Development,2015-07-01,2018-06-30,Female,Dem,A
"STEM Advisory Board, Southeast Regional",Jacqueline Kleppe,IOWA CITY,JOHNSON,Hub Institution Rep,2015-07-01,2018-06-30,Female,Dem,A
"STEM Advisory Board, Southeast Regional",Linda Zachar,Cedar Rapids,LINN,Business,2016-07-01,2019-06-30,Female,Rep,A
"STEM Advisory Board, Southeast Regional",Joe Crozier,Robins,LINN,Area Education Agency,2016-07-01,2019-06-30,Male,Dem,A
"STEM Advisory Board, Southeast Regional",Dan Peterson,DeWitt,CLINTON,K-12 Parent,2016-07-01,2019-06-30,Male,Rep,A
"STEM Advisory Board, Southeast Regional",Ellen Kabat Lensch,Bettendorf,SCOTT,Community College,2016-07-01,2019-06-30,Female,None,A
"STEM Advisory Board, Southeast Regional",Dana Millard,Keokuk,LEE,Economic Development/Chamber of Commerce,2016-07-01,2019-06-30,Female,None,A
"STEM Advisory Board, Southwest Regional",Chris Russell,Omaha,OUT OF STATE,Business/Industry,2014-07-01,2017-06-30,Male,None,A
"STEM Advisory Board, Southwest Regional",Kimberly Carter,Council Bluffs,POTTAWATTAMIE,Community College,2014-07-01,2017-06-30,Female,Rep,A
"STEM Advisory Board, Southwest Regional",Carol LaFaver,Creston,UNION,Public University,2014-07-01,2017-06-30,Female,Dem,A
"STEM Advisory Board, Southwest Regional",Lori Stitz,Harlan,SHELBY,Community College,2014-07-01,2017-06-30,Female,None,A
"STEM Advisory Board, Southwest Regional",Heidi Lowthorp,Sidney,FREMONT,Local Government/School Board,2014-07-22,2017-06-30,Female,Rep,A
"STEM Advisory Board, Southwest Regional",Misty Gray,Atlantic,CASS,Library/Nonprofit,2015-07-01,2018-06-30,Female,None,A
"STEM Advisory Board, Southwest Regional",Luann Langel,Manning,CARROLL,STEM Teacher,2015-07-01,2018-06-30,Female,None,A
"STEM Advisory Board, Southwest Regional",Barbara DeVore,OSCEOLA,CLARKE,Regional Workforce Development,2015-07-01,2018-06-30,Female,Rep,A
"STEM Advisory Board, Southwest Regional",Thomas Lesan,CRESTON,UNION,Hub Institution Rep,2015-07-01,2018-06-30,Male,Rep,A
"STEM Advisory Board, Southwest Regional",Katherine Somers,Atlantic,CASS,Business,2015-07-01,2018-06-30,Female,Rep,A
"STEM Advisory Board, Southwest Regional",Lisa Hilder,Red Oak,MONTGOMERY,K-12 Student/Parent,2016-07-01,2019-06-30,Female,None,A
"STEM Advisory Board, Southwest Regional",Lane Plugge,Council Bluffs,IOWA,Area Education Agency,2016-07-01,2019-06-30,Male,Dem,A
"STEM Advisory Board, Southwest Regional",Barbara Crittenden,Creston,UNION,Community College,2016-07-01,2019-06-30,Female,Rep,A
"STEM Advisory Board, Southwest Regional",Gilbert Thomas,Clarinda,PAGE,Economic Development/Chamber of Commerce,2016-07-01,2019-06-30,Male,Rep,A
"STEM Advisory Board, Southwest Regional",Alan Ladd,Atlantic,IOWA,County Extension and Outreach,2016-07-01,2019-06-30,Male,Rep,A
STEM Advisory Council,Christopher Nelson,CUMMING,DALLAS,Business Member - Executive Committee Co-Chair,2015-07-28,2015-08-31,Male,None,A
STEM Advisory Council,Leann Jacobsen,Spencer,CLAY,IT Member,2014-09-01,2017-08-31,Female,None,A
STEM Advisory Council,Alissa Jourdan,DES MOINES,POLK,Agribusiness Member,2014-09-01,2017-08-31,Female,Dem,A
STEM Advisory Council,Jerry Deegan,Clive,POLK,IT Member,2014-09-01,2017-08-31,Male,None,A
STEM Advisory Council,Rachel Hurley,JOHNSTON,POLK,Biotechnology Member,2014-09-01,2017-08-31,Female,Rep,A
STEM Advisory Council,Steven Triplett,Coralville,JOHNSON,Testing Org. Member,2014-09-01,2017-08-31,Male,None,A
STEM Advisory Council,Joseph Hrdlicka,West Des Moines,POLK,IT Member,2014-09-01,2017-08-31,Male,Rep,A
STEM Advisory Council,"Robert ""Kelly"" Ortberg",Cedar Rapids,LINN,Business Member (EC),2014-09-01,2017-08-31,Male,Rep,A
STEM Advisory Council,Paul Schickler,DES MOINES,POLK,Rep of Employers that hire candidates with STEM skills (EC),2014-09-01,2017-08-31,Male,None,A
STEM Advisory Council,Gary Scholten,DES MOINES,POLK,Business Member (EC),2014-09-01,2017-08-31,Male,Dem,A
STEM Advisory Council,Janice Bates,Estherville,EMMET,Advanced Manufacturing Member,2014-09-01,2017-08-31,Female,Rep,A
STEM Advisory Council,Emily Abbas,Des Moines,POLK,Business,2014-09-01,2017-08-31,Female,None,A
STEM Advisory Council,Cindy Dietz,CEDAR RAPIDS,LINN,Business Member,2014-09-01,2017-08-31,Female,None,A
STEM Advisory Council,Patrick Barnes,BETTENDORF,SCOTT,Advanced Manufacturing Member,2014-09-01,2017-08-31,Male,Rep,A
STEM Advisory Council,Laurie Phelan,Maxwell,POLK,Non-Profit,2014-09-01,2017-08-31,Female,Dem,A
STEM Advisory Council,Liz Bennett,Cedar Rapids,IOWA,Legislator,2015-09-01,2018-08-31,Female,Dem,A
STEM Advisory Council,Craig Johnson,Cedar Falls,BLACK HAWK,Non-Profits Member,2015-09-01,2018-08-31,Male,Rep,A
STEM Advisory Council,Teri Vos,Pella,MARION,Business,2015-09-01,2018-08-31,Female,Rep,A
STEM Advisory Council,Robert Cramer,Grimes,POLK,Business,2015-09-01,2018-08-31,Male,Rep,A
STEM Advisory Council,Josh Byrnes,OSAGE,MITCHELL,Legislator,2015-09-01,2018-08-31,Male,Rep,A
STEM Advisory Council,Catherine Swoboda,PLEASANT HILL,POLK,Non-Profits Member,2015-09-01,2018-08-31,Female,Dem,A
STEM Advisory Council,Kathryn Kunert,Des Moines,POLK,Business,2015-09-01,2018-08-31,Female,Rep,A
STEM Advisory Council,Deb Dunkhase,IOWA CITY,JOHNSON,Non-Profits Member,2015-09-01,2018-08-31,Female,Dem,A
STEM Advisory Council,Mark Chelgren,Ottumwa,WAPELLO,Legislator,2015-09-01,2018-08-31,Male,Rep,A
STEM Advisory Council,Sharon Rosenboom,ORANGE CITY,SIOUX,Higher Ed. Member,2015-09-01,2018-08-31,Female,Rep,A
STEM Advisory Council,Brian Schoenjahn,ARLINGTON,FAYETTE,Legislator,2015-09-01,2018-08-31,Male,Dem,A
STEM Advisory Council,Tamara Trinder,WEST DES MOINES,POLK,Healthcare Member,2015-09-01,2018-08-31,Female,None,A
STEM Advisory Council,Kwizera Imani,Des Moines,POLK,Student,2016-07-01,2019-06-30,Male,None,A
STEM Advisory Council,Valerie Newhouse,EMMETSBURG,PALO ALTO,Post-Sec.Training Member,2016-09-01,2019-08-31,Female,Dem,A
STEM Advisory Council,John Carver,Cresco,HOWARD,"Preschool, Elementary or Secondary Education Rep (EC)",2016-09-01,2019-08-31,Male,Rep,A
STEM Advisory Council,kasey mccurdy,ankeny,POLK,Business Member,2016-09-01,2019-08-31,Male,None,A
STEM Advisory Council,David VanHorn,WINTERSET,MADISON,"Preschool, Elementary or Secondary Education Rep (EC)",2016-09-01,2019-08-31,Male,Dem,A
STEM Advisory Council,Kacia Cain,Indianola,WARREN,EC/K-12 Education (EC),2016-09-01,2019-08-31,Female,None,A
STEM Advisory Council,Mary Meisterling,CEDAR RAPIDS,LINN,Business Member,2016-09-01,2019-08-31,Female,Rep,A
STEM Advisory Council,Jonathan Wickert,Ames,STORY,Engineering Member,2016-09-01,2019-08-31,Male,None,A
STEM Advisory Council,Robert Denson,Ankeny,POLK,Community College President (EC),2016-09-01,2019-08-31,Male,Dem,A
STEM Advisory Council,jordan lampe,Des Moines,POLK,Business Member,2016-09-01,2019-08-31,Male,None,A
STEM Advisory Council,Patrick Butler,Iowa City,JOHNSON,Higher Ed. Member,2016-09-01,2019-08-31,Male,None,A
STEM Advisory Council,"Mary ""Beth"" Hochstedler",IOWA CITY,JOHNSON,Healthcare Member,2016-09-01,2019-08-31,Female,Rep,A
STEM Advisory Council,Mark Putnam,Pella,MARION,Independent College President (EC),2016-09-01,2019-08-31,Male,None,A
STEM Advisory Council,Sue Mattison,Des Moines,POLK,Rep of National STEM Organization,2016-09-01,2019-08-31,Female,None,A
STEM Advisory Council,Steven Leath,AMES,STORY,President of Iowa State University (EC),2012-01-16,,Male,None,A
STEM Advisory Council,Bruce Harreld,Iowa City,JOHNSON,President of University of Iowa (EC),2016-09-01,,Male,None,A
STEM Advisory Council,Kimberly Reynolds,OSCEOLA,CLARKE,Lt. Governor - Executive Committee Co-Chair,2011-09-01,,Female,Rep,A
STEM Advisory Council,Jim Wohlpart,Cedar Falls,BLACK HAWK,President of University of Northern Iowa (EC),2016-09-01,,Male,Dem,A
STEM Advisory Council,Ryan Wise,Des Moines,POLK,Director of Dept. of Education (EC),2015-06-30,,Male,Dem,A
STEM Advisory Council,Deborah Durham,DES MOINES,POLK,Director of IPEP (EC),2011-09-01,,Female,Rep,A
STEM Advisory Council,Beth Townsend,Granger,POLK,Director of Dept. of Workforce Development (EC),2015-02-03,,Female,Rep,A
Streamlined Sales Tax Governing Board,Courtney Kay-Decker,Des Moines,POLK,Director of Revenue,2011-01-14,,Female,Rep,A
Streamlined Sales Tax Governing Board,Victoria Daniels,Des Moines,POLK,Exectuive Branch Delegate,2011-01-14,,Female,Dem,A
Student Loan Liquidity Corporation,Marcia Rogers,Cedar Rapids,LINN,Public,2016-03-11,2017-06-30,Female,Dem,A
Student Loan Liquidity Corporation,Lorraine Groves,Sioux City,WOODBURY,Credit Union,2013-07-01,2017-06-30,Female,Dem,A
Student Loan Liquidity Corporation,Robert Denson,ANKENY,POLK,Community College,2014-07-01,2018-06-30,Male,Dem,A
Student Loan Liquidity Corporation,Christine Hensley,DES MOINES,POLK,Banker,2014-07-01,2018-06-30,Female,Rep,A
Student Loan Liquidity Corporation,Laurie Hempen,NEW LONDON,HENRY,Public Member,2014-07-01,2018-06-30,Female,Dem,A
Student Loan Liquidity Corporation,James Schipper,Ankeny,POLK,Banker,2015-10-23,2019-06-30,Male,Rep,A
Student Loan Liquidity Corporation,Miles Lackey,Ames,STORY,Regents Rep.,2015-07-01,2019-06-30,Male,Rep,A
Student Loan Liquidity Corporation,Tammy Bramley,UTE,MONONA,Public Member,2011-07-01,2019-06-30,Female,Rep,A
Student Loan Liquidity Corporation,Adam Voigts,Indianola,WARREN,Private Colleges Rep.,2016-07-01,2020-06-30,Male,Rep,A
Student Loan Liquidity Corporation,Scott Schneidermann,Rock Rapids,LYON,Savings and Loan,2016-07-01,2020-06-30,Male,Rep,A
Student Loan Liquidity Corporation,Daniel Clute,Urbandale,DALLAS,Public Member,2016-07-01,2020-06-30,Male,Rep,A
"Tax Review, State Board of",Jeffrey Elgin,CEDAR RAPIDS,LINN,Registered Voter,2011-05-01,2017-04-30,Male,Rep,A
"Tax Review, State Board of",Kathleen Till Stange,West Des Moines,POLK,Registered Voter,2014-08-29,2019-04-30,Female,Rep,A
"Tax Review, State Board of",David Erickson,Des Moines,POLK,Registered Voter,2015-05-01,2021-04-30,Male,None,A
Technology Advisory Council,Vacant,,,Agency > 700 Employees,2012-05-01,2014-04-30,,None,V
Technology Advisory Council,Vacant,,,Agency >700 Employees,2012-05-01,2014-04-30,,None,V
Technology Advisory Council,Vacant,,,Agency W. 70-700 Employees,2012-05-01,2014-04-30,,None,V
Technology Advisory Council,William Orr,urbandale,POLK,Agency < 70 Employees,2015-05-01,2017-04-30,Male,None,A
Technology Advisory Council,Sally Titus,DES MOINES,POLK,Agency >700 Employees,2015-05-01,2017-04-30,Female,Dem,A
Technology Advisory Council,Tim Peterson,Des Moines,POLK,Public Member,2015-05-01,2017-04-30,Male,Rep,A
Technology Advisory Council,Adam Gregg,Johnston,POLK,Agency W. 70-700 Employees,2015-05-01,2017-04-30,Male,Rep,A
Technology Advisory Council,JACQUELINE PULLEN,WEST DES MOINES,POLK,Public Member,2016-05-01,2018-04-30,Female,None,A
"Telecommunications and Technology Commission, Iowa",Timothy Lapointe,MASON CITY,CERRO GORDO,Not Authorized User,2011-05-01,2017-04-30,Male,Dem,A
"Telecommunications and Technology Commission, Iowa",Kathleen Kohorst,HARLAN,SHELBY,Not Authorized User,2012-05-01,2018-04-30,Female,Rep,A
"Telecommunications and Technology Commission, Iowa",Richard Bruner,VENTURA,CERRO GORDO,Not Authorized User/Chair,2013-05-01,2019-04-30,Male,Rep,A
"Telecommunications and Technology Commission, Iowa",Kelly Dolan Lange,Independence,BUCHANAN,Not Authorized User,2014-05-01,2020-04-30,Female,Rep,A
"Telecommunications and Technology Commission, Iowa",Mary Sellers,des moines,POLK,Not Authorized User,2016-05-01,2022-04-30,Female,None,A
Terrace Hill Commission,William Dikis,CLIVE,POLK,Member,2014-07-01,2017-06-30,Male,Rep,A
Terrace Hill Commission,Jerry Mathiasen,COUNCIL BLUFFS,POTTAWATTAMIE,Member,2014-07-01,2017-06-30,Male,Rep,A
Terrace Hill Commission,Christine Branstad,DES MOINES,POLK,Member,2014-07-01,2017-06-30,Female,Rep,A
Terrace Hill Commission,Eric Wieland,West Des Moines,POLK,Member,2015-07-01,2018-06-30,Male,Rep,A
Terrace Hill Commission,Debbie Hubbell,Des Moines,POLK,Member,2015-07-01,2018-06-30,Female,Dem,A
Terrace Hill Commission,Kaye Lozier,Des Moines,POLK,Chair,2015-07-01,2018-06-30,Female,Rep,A
Terrace Hill Commission,julie stewart,Altoona,IOWA,Member,2016-07-01,2019-06-30,Female,Dem,A
Terrace Hill Commission,Heather Soener,Windsor Heights,POLK,Member,2016-07-01,2019-06-30,Female,None,A
Terrace Hill Commission,Robert Reinard,West Des Moines,DALLAS,Member,2016-07-01,2019-06-30,Male,None,A
Title Guaranty Division Board,Charles Winkleblack,AMES,STORY,Housing Industry Rep,2011-05-01,2017-04-30,Male,Rep,A
Title Guaranty Division Board,Kimberly Downing-Manning,ANKENY,POLK,Financial Industry,2011-05-01,2017-04-30,Female,None,A
Title Guaranty Division Board,Patricia Schneider,DES MOINES,POLK,Real Estate Broker,2013-05-01,2019-04-30,Female,None,A
Title Guaranty Division Board,Daniel Seufferlein,NORTH LIBERTY,JOHNSON,Attorney,2013-05-01,2019-04-30,Male,Rep,A
Title Guaranty Division Board,Judy Hilgenberg,Guthrie Center,GUTHRIE,Abstractor,2015-05-01,2021-04-30,Female,Rep,A
"Tobacco Use Prevention and Control, Commission on",George Belitsos,Ames,STORY,Nonprofit Health Org.,2015-12-08,2017-04-30,Male,Dem,A
"Tobacco Use Prevention and Control, Commission on",Brian Pins,Waverly,BREMER,Nonprofit Health Org.,2014-05-01,2017-04-30,Male,None,A
"Tobacco Use Prevention and Control, Commission on",Chad Jensen,CARROLL,CARROLL,Health Promotion- Local,2015-05-01,2018-04-30,Male,Dem,A
"Tobacco Use Prevention and Control, Commission on",Melissa Walker,Marion,LINN,Health Promotion- Local,2016-05-01,2019-04-30,Female,Dem,A
"Tobacco Use Prevention and Control, Commission on",Micki Sandquist,Adel,DALLAS,Nonprofit Health Org.,2016-05-01,2019-04-30,Female,Rep,A
"Tobacco Use Prevention and Control, Commission on",Lorene Mein,Ankeny,POLK,Health Promotion- Local,2016-05-01,2019-04-30,Female,None,A
Transportation Commission ,Loree Miles,Dallas Center,DALLAS,Member,2013-05-01,2017-04-30,Female,Dem,A
Transportation Commission ,Leonard Boswell,Davis City,DECATUR,Member,2014-01-29,2017-04-30,Male,Dem,A
Transportation Commission ,John Putney,Gladbrook,TAMA,Member,2014-05-01,2018-04-30,Male,Rep,A
Transportation Commission ,Daniel Huber,Davenport,SCOTT,Member,2014-05-01,2018-04-30,Male,Rep,A
Transportation Commission ,David Rose,CLINTON,CLINTON,Member,2015-05-01,2019-04-30,Male,Rep,A
Transportation Commission ,Kathleen Fehrman,Des Moines,POLK,Member,2016-05-01,2020-04-30,Female,Dem,A
Transportation Commission ,Charese Yanney,Sioux City,WOODBURY,Member,2016-05-01,2020-04-30,Female,Rep,A
"Uniform State Laws, Commission on",David Walker,WINDSOR HEIGHTS,POLK,,2016-07-01,2020-06-30,Male,Dem,A
"Uniform State Laws, Commission on",Craig Long,West Des Moines,POLK,,2016-07-01,2020-06-30,Male,Rep,A
"Uniform State Laws, Commission on",Rosemary Sackett,Okoboji,DICKINSON,,2016-07-01,2020-06-30,Female,Rep,A
"Utilities Board, Iowa",Libby Jacobs,WEST DES MOINES,POLK,Member,2011-05-01,2017-04-30,Female,Rep,A
"Utilities Board, Iowa",Geri Huser,Altoona,POLK,Chair,2015-05-01,2017-04-30,Female,Dem,A
"Utilities Board, Iowa",Nick Wagner,MARION,LINN,Member,2013-05-24,2019-04-30,Male,Rep,A
"Utilities Board, Iowa",Geri Huser,Altoona,POLK,Member,2015-05-01,2021-04-30,Female,Dem,A
"Veterans Affairs, Commission of",Vacant,,,American Veterans Nominee,2008-05-01,2012-04-30,Female,Rep,V
"Veterans Affairs, Commission of",Elizabeth Ledvina,Toledo,TAMA,American Legion Nominee,2014-05-01,2018-04-30,Female,Rep,A
"Veterans Affairs, Commission of",Richard Goebel,New Vienna,DUBUQUE,Vfw Nominee,2014-05-01,2018-04-30,Male,Rep,A
"Veterans Affairs, Commission of",Monica Blakley,Granger,POLK,Iowa National Guard,2014-05-01,2018-04-30,Female,None,A
"Veterans Affairs, Commission of",Steven Hyde,Marshalltown,MARSHALL,Order of the Purple Heart Nominee,2015-05-01,2019-04-30,Male,None,A
"Veterans Affairs, Commission of",Ronald Langel,Ankeny,POLK,Vietnam Veterans Nominee,2015-05-01,2019-04-30,Male,Dem,A
"Veterans Affairs, Commission of",Kathleen Myers,Graettinger,PALO ALTO,Public Member- Chair,2015-05-01,2019-04-30,Female,None,A
"Veterans Affairs, Commission of",Gary Wattnem,Mason City,CERRO GORDO,Reserve Officers Association Nominee- 2nd Vice,2016-05-01,2020-04-30,Male,Rep,A
"Veterans Affairs, Commission of",Dan Gannon,ANKENY,POLK,Disabled American Veterans Nominee- 1st Vice,2016-05-01,2020-04-30,Male,None,A
"Veterinary Medicine, Iowa Board of",Ann Werner,Diagonal,RINGGOLD,Public Member,2014-05-01,2017-04-30,Female,Rep,A
"Veterinary Medicine, Iowa Board of",Keith Leonard,Atlantic,CASS,Licensed Veterinarian,2014-05-01,2017-04-30,Male,Rep,A
"Veterinary Medicine, Iowa Board of",Christine Bean,Marathon,BUENA VISTA,Lic. Veterinarian,2015-05-01,2018-04-30,Female,Rep,A
"Veterinary Medicine, Iowa Board of",Curtis Youngs,AMES,STORY,Public Member,2015-05-01,2018-04-30,Male,None,A
"Veterinary Medicine, Iowa Board of",Dewayne Rahe,Dyersville,DUBUQUE,Licensed Veterinarian,2016-05-01,2019-04-30,Male,None,A
Vision Iowa Board,Vacant,,,Mayor of City <20k,2010-05-01,2013-04-30,Male,Dem,V
Vision Iowa Board,Mark Kapfer,Bettendorf,SCOTT,Citizen Member,2014-05-01,2017-04-30,Male,Rep,A
Vision Iowa Board,Craig Johnson,INDEPENDENCE,BUCHANAN,Citizen Member,2014-05-01,2017-04-30,Male,Rep,A
Vision Iowa Board,Tammy Robinson,NEW HAMPTON,CHICKASAW,Tourism District East,2014-05-01,2017-04-30,Female,Dem,A
Vision Iowa Board,Merlin Bartz,Grafton,WORTH,County Supervisor< 34th Population,2015-05-01,2018-04-30,Male,Rep,A
Vision Iowa Board,Charese Yanney,Sioux City,WOODBURY,Tourism District-west,2015-05-01,2018-04-30,Female,Rep,A
Vision Iowa Board,Emily Schirmer,Indianola,WARREN,Citizen,2015-05-01,2018-04-30,Female,Dem,A
Vision Iowa Board,Cathy Reece,CHARITON,LUCAS,Tourism District-central - Chair,2015-05-01,2018-04-30,Female,Rep,A
Vision Iowa Board,Eric Bookmeyer,Mason City,CERRO GORDO,Mayor of City >20k,2016-05-01,2019-04-30,Male,None,A
Vision Iowa Board,Jacob Anderson,Van Meter,IOWA,Citizen Member,2016-05-01,2019-04-30,Male,None,A
Vocational Rehabilitation Council,Vacant,,,"Business, Labor and Industry",2012-01-06,2013-06-30,Female,None,V
Vocational Rehabilitation Council,Vacant,,,"Business, Labor and Industry",2012-01-06,2013-06-30,Female,None,V
Vocational Rehabilitation Council,randell davis,oskaloosa,MAHASKA,Advocacy,2014-07-01,2017-06-30,Male,Dem,A
Vocational Rehabilitation Council,Alex Watters,Sioux City,WOODBURY,Former/Current Rehab Recipients,2014-07-01,2017-06-30,Male,Dem,A
Vocational Rehabilitation Council,James Smith,Coralville,JOHNSON,Advocacy,2014-07-01,2017-06-30,Male,Dem,A
Vocational Rehabilitation Council,Gary McDermott,Clinton,CLINTON,Disability Advocacy/ SILC Rep.,2014-07-01,2017-06-30,Male,None,A
Vocational Rehabilitation Council,Kim Drew,Des Moines,POLK,Dept of Ed Rep,2016-07-01,2017-06-30,Female,None,A
Vocational Rehabilitation Council,Sherri Clark,Red Oak,MONTGOMERY,Community Rehab Program,2015-07-01,2018-06-30,Female,Rep,A
Vocational Rehabilitation Council,Nicole Cleveland,Sergeant Bluff,WOODBURY,Advocacy,2015-07-01,2018-06-30,Female,Rep,A
Vocational Rehabilitation Council,Rosemary Thierer,Mitchellville,POLK,Advocacy,2015-07-01,2018-06-30,Female,Dem,A
Vocational Rehabilitation Council,Jill Crosser,Ames,BOONE,Disability Advocacy Group,2015-07-01,2018-06-30,Female,None,A
Vocational Rehabilitation Council,Lori Moore,West Des Moines,POLK,Parent Training & Info Ctr,2015-07-01,2018-06-30,Female,Dem,A
Vocational Rehabilitation Council,Pamala Fitzsimmons,Pella,MARION,"Business, Labor and Industry",2015-07-01,2018-06-30,Female,None,A
Vocational Rehabilitation Council,Marketa Oliver,Des Moines,POLK,Workforce Dev Rep,2016-08-10,2019-06-30,Female,Dem,A
Vocational Rehabilitation Council,Page Eastin,West Des Moines,POLK,Pwd- Client Assistant Program,2016-07-01,2019-06-30,Female,None,A
Vocational Rehabilitation Council,Scott Turczynski,Elkhart,POLK,"Business, Labor and Industry",2016-07-01,2019-06-30,Male,Rep,A
"Volunteer Service, Iowa Commission on",Nancy Franz,AMES,STORY,Higher Education,2014-07-01,2017-06-30,Female,Dem,A
"Volunteer Service, Iowa Commission on",Traci Kirtley,Huxley,STORY,AmeriCorp Program Rep,2014-07-01,2017-06-30,Female,Dem,A
"Volunteer Service, Iowa Commission on",Marcia Hughes,Cedar Rapids,LINN,CBO,2014-07-01,2017-06-30,Female,None,A
"Volunteer Service, Iowa Commission on",Bernie Van Roekel,Spirit Lake,DICKINSON,Faith Based,2014-07-01,2017-06-30,Male,Rep,A
"Volunteer Service, Iowa Commission on",Gina Schochenmaier,Council Bluffs,POTTAWATTAMIE,Higher Education,2014-07-01,2017-06-30,Female,Dem,A
"Volunteer Service, Iowa Commission on",Charles Minnick,Clinton,CLINTON,Higher Education,2014-07-01,2017-06-30,Male,None,A
"Volunteer Service, Iowa Commission on","Barbara ""Bobbie"" Finch",West Des Moines,POLK,Senior Program,2014-07-01,2017-06-30,Female,Rep,A
"Volunteer Service, Iowa Commission on",Sue Driscoll,Marion,LINN,Volunteer Action Center,2014-07-01,2017-06-30,Female,Rep,A
"Volunteer Service, Iowa Commission on",Jordan DeGree,DUBUQUE,DUBUQUE,CBO,2015-07-01,2018-06-30,Male,None,A
"Volunteer Service, Iowa Commission on",Cynthia Hanson,Sioux City,WOODBURY,CBO,2015-07-01,2018-06-30,Female,Dem,A
"Volunteer Service, Iowa Commission on",Ashley Farmer-Hanson,Storm Lake,BUENA VISTA,Higher Education - Civic Engagement,2015-07-01,2018-06-30,Female,None,A
"Volunteer Service, Iowa Commission on",Angela Ten Clay,Urbandale,POLK,At-Large Business,2016-07-01,2018-06-30,Female,Rep,A
"Volunteer Service, Iowa Commission on",Kolton Hewlett,Leon,DECATUR,CBO,2016-07-01,2018-06-30,Male,None,A
"Volunteer Service, Iowa Commission on",Khayree Fitten,MOUNT PLEASANT,HENRY,Youth Member,2015-07-01,2018-06-30,Male,Rep,A
"Volunteer Service, Iowa Commission on",Jason Shippee,Davenport,SCOTT,Member,2016-07-01,2019-06-30,Male,Rep,A
"Volunteer Service, Iowa Commission on",Kerry Walter-Ashby,Ankeny,POLK,Local Government,2016-07-01,2019-06-30,Female,Dem,A
"Volunteer Service, Iowa Commission on",MICHAEL PEARSON,Cedar Rapids,LINN,Member,2016-07-01,2019-06-30,Male,Rep,A
"Volunteer Service, Iowa Commission on",Cherian Koshy,West Des Moines,IOWA,CBO,2016-07-01,2019-06-30,Male,None,A
"Volunteer Service, Iowa Commission on",Anderson Sainci,Dubuque,IOWA,Mentoring Program,2016-07-01,2019-06-30,Male,Dem,A
"Volunteer Service, Iowa Commission on",Leah Rodenberg,Marion,LINN,At-Large Business,2016-07-01,2019-06-30,Female,Rep,A
"Volunteer Service, Iowa Commission on",Jordan Vernoy,Cedar Falls,BLACK HAWK,Member,2016-07-01,2019-06-30,Male,None,A
"Volunteer Service, Iowa Commission on",Kristine Winter,Urbandale,POLK,Business,2016-07-01,2019-06-30,Female,Dem,A
"Volunteer Service, Iowa Commission on",Tammy Wawro,Cedar Rapids,LINN,Labor,2016-07-01,2019-06-30,Female,Dem,A
Watershed Improvement Review Board,Vacant,,,IA Assn of Water Agencies,2007-05-01,2010-04-30,Female,None,V
Watershed Improvement Review Board,Vacant,,,Iowa Rural Water Assn,2007-05-01,2010-04-30,Male,Rep,V
Watershed Improvement Review Board,Dennis Bogaards,PELLA,MAHASKA,Iowa Soybean Assn,2015-05-01,2017-04-30,Male,Rep,A
Watershed Improvement Review Board,Jacob Hansen,Des Moines,POLK,Idals,2014-05-01,2017-04-30,Male,None,A
Watershed Improvement Review Board,Stephen Hopkins,NEWTON,JASPER,Dnr,2014-05-01,2017-04-30,Male,None,A
Watershed Improvement Review Board,Carrie Keppy,Davenport,SCOTT,IA Pork Producers,2014-05-01,2017-04-30,Female,None,A
Watershed Improvement Review Board,Larry Gullett,Hills,JOHNSON,Ia. Assc. of County Conservati,2015-05-01,2018-04-30,Male,None,A
Watershed Improvement Review Board,Jane Weber,BETTENDORF,SCOTT,Soil and Water Conservation Dists,2015-05-01,2018-04-30,Female,Rep,A
Watershed Improvement Review Board,Molly Toot,Nevada,STORY,Agribusiness Assn,2015-05-01,2018-04-30,Female,Dem,A
Watershed Improvement Review Board,Susan Heathcote,DES MOINES,POLK,Iowa Environmental Council Rep,2015-05-01,2018-04-30,Female,Dem,A
Watershed Improvement Review Board,Curt Zingula,Central City,LINN,Iowa Farm Bureau,2015-05-01,2018-04-30,Male,Rep,A
"Workforce Development Board, Iowa",Vacant,,,Nonprofit Organization,2008-05-01,2012-04-30,Female,Dem,V
"Workforce Development Board, Iowa",John Krogman,Atlantic,CASS,Employer Rep,2014-05-01,2018-04-30,Male,Rep,A
"Workforce Development Board, Iowa",Carrie Duncan,New London,HENRY,Labor Org Rep.,2016-05-12,2018-04-30,Female,Dem,A
"Workforce Development Board, Iowa",Robert Gilmore,DAWSON,DALLAS,Labor- Worker Training Program,2014-05-01,2018-04-30,Male,Dem,A
"Workforce Development Board, Iowa",Suzanne Kmet,INDIANOLA,WARREN,Employer Rep,2014-05-01,2018-04-30,Female,Rep,A
